airline,airline_id,s_airport,s_airport_id,d_airport,d_airport_id,s_name,s_city,s_country,s_ICAO,s_latitude,s_longitude,s_altitude,s_timezone,d_name,d_city,d_country,d_ICAO,d_latitude,d_longitude,d_altitude,d_timezone,distance(Km)
2B,410,AER,2965,KZN,2990,Sochi International Airport,Sochi,Russia,URSS,43.449902,39.9566,89,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1506.825604458928
2B,410,ASF,2966,KZN,2990,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1040.4383197669074
2B,410,CEK,2968,KZN,2990,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,770.5085001497805
2B,410,DME,4029,KZN,2990,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,715.6493504840489
2B,410,EGO,6156,KZN,2990,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1008.2531100895807
2B,410,LED,2948,KZN,2990,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1216.8445674824818
2B,410,SVX,2975,KZN,2990,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,723.523203520023
2B,410,ASF,2966,MRV,2962,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Mineralnyye Vody Airport,Mineralnye Vody,Russia,URMM,44.22510147094727,43.08190155029297,1054,3,448.1649087095456
3R,3545,ASF,2966,DME,4029,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,1235.2380422748795
3R,3545,EGO,6156,DME,4029,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,537.0795527366757
2B,410,KZN,2990,DME,4029,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,715.6493504840489
2B,410,NBC,6969,DME,4029,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,892.3827877543463
2B,410,TGK,\N,DME,4029,Taganrog Yuzhny Airport,Taganrog,Russia,URRT,47.1983333,38.8491667,117,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,915.2891395770904
2B,410,UUA,6160,DME,4029,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,951.4321982829719
3R,3545,BHK,2980,DME,4029,Bukhara Airport,Bukhara,Uzbekistan,UTSB,39.775001525878906,64.4832992553711,751,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2615.6552278795057
3R,3545,FEG,6149,DME,4029,Fergana International Airport,Fergana,Uzbekistan,UTKF,40.3587989807,71.7450027466,1980,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2982.361522753396
3R,3545,KSQ,6153,DME,4029,Karshi Khanabad Airport,Khanabad,Uzbekistan,UTSL,38.8335990906,65.9215011597,1365,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2775.0664897619654
3R,3545,NMA,6150,DME,4029,Namangan Airport,Namangan,Uzbekistan,UTKN,40.9846000671,71.5567016602,1555,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2921.847723093887
3R,3545,NVI,6485,DME,4029,Navoi Airport,Navoi,Uzbekistan,UTSA,40.1171989440918,65.1707992553711,0,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2624.2016539805813
3R,3545,SKD,2981,DME,4029,Samarkand Airport,Samarkand,Uzbekistan,UTSS,39.70050048828125,66.98380279541016,2224,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2760.330940215112
3R,3545,TIV,1743,DME,4029,Tivat Airport,Tivat,Montenegro,LYTV,42.40470123291016,18.72330093383789,20,1,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2001.080073580957
3R,3545,ASF,2966,LED,2948,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,1902.0748744480443
2B,410,KZN,2990,LED,2948,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,1216.8445674824818
2B,410,NBC,6969,LED,2948,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,1372.8864143629514
2B,410,UUA,6160,LED,2948,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,1464.056935072568
5N,503,ARH,4362,LED,2948,Talagi Airport,Arkhangelsk,Russia,ULAA,64.60030364990234,40.71670150756836,62,3,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,759.035687391219
2B,410,CEK,2968,OVB,4078,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1338.6314665862067
2G,1654,CEK,2968,OVB,4078,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1338.6314665862067
2B,410,SVX,2975,OVB,4078,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1370.297258632382
2G,1654,BTK,2936,OVB,4078,Bratsk Airport,Bratsk,Russia,UIBB,56.370601654052734,101.697998046875,1610,8,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1199.3591559200308
2G,1654,IKT,2937,OVB,4078,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1458.824309959064
2G,1654,MJZ,2925,OVB,4078,Mirny Airport,Mirnyj,Russia,UERR,62.534698486328125,114.03900146484376,1156,9,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,1967.487894489541
2B,410,DME,4029,NBC,6969,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,892.3827877543463
2B,410,GYD,2922,NBC,6969,Heydar Aliyev International Airport,Baku,Azerbaijan,UBBB,40.46749877929688,50.04669952392578,10,4,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,1685.4265243719851
2B,410,LED,2948,NBC,6969,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,1372.8864143629514
2B,410,SVX,2975,NBC,6969,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,554.7033596624186
2B,410,DME,4029,TGK,\N,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Taganrog Yuzhny Airport,Taganrog,Russia,URRT,47.1983333,38.8491667,117,3,915.2891395770904
2B,410,DME,4029,UUA,6160,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,951.4321982829719
2B,410,LED,2948,UUA,6160,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,1464.056935072568
2B,410,NJC,2972,UUA,6160,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,USNN,60.94929885864258,76.48359680175781,177,5,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,1557.1718220176435
3R,3545,DME,4029,ASF,2966,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,1235.2380422748795
2B,410,KZN,2990,ASF,2966,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,1040.4383197669074
3R,3545,LED,2948,ASF,2966,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,1902.0748744480443
2B,410,MRV,2962,ASF,2966,Mineralnyye Vody Airport,Mineralnye Vody,Russia,URMM,44.22510147094727,43.08190155029297,1054,3,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,448.1649087095456
3R,3545,DME,4029,BHK,2980,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Bukhara Airport,Bukhara,Uzbekistan,UTSB,39.775001525878906,64.4832992553711,751,5,2615.6552278795057
3R,3545,DME,4029,EGO,6156,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,537.0795527366757
2B,410,KGD,2952,EGO,6156,Khrabrovo Airport,Kaliningrad,Russia,UMKK,54.88999938964844,20.59259986877441,42,2,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,1171.881495283767
2B,410,KZN,2990,EGO,6156,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,1008.2531100895807
3R,3545,DME,4029,FEG,6149,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Fergana International Airport,Fergana,Uzbekistan,UTKF,40.3587989807,71.7450027466,1980,5,2982.361522753396
3R,3545,DME,4029,KSQ,6153,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Karshi Khanabad Airport,Khanabad,Uzbekistan,UTSL,38.8335990906,65.9215011597,1365,5,2775.0664897619654
3R,3545,DME,4029,NMA,6150,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Namangan Airport,Namangan,Uzbekistan,UTKN,40.9846000671,71.5567016602,1555,5,2921.847723093887
3R,3545,DME,4029,NVI,6485,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Navoi Airport,Navoi,Uzbekistan,UTSA,40.1171989440918,65.1707992553711,0,5,2624.2016539805813
3R,3545,DME,4029,SKD,2981,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Samarkand Airport,Samarkand,Uzbekistan,UTSS,39.70050048828125,66.98380279541016,2224,5,2760.330940215112
3R,3545,DME,4029,TIV,1743,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Tivat Airport,Tivat,Montenegro,LYTV,42.40470123291016,18.72330093383789,20,1,2001.080073580957
2B,410,EGO,6156,KGD,2952,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,Khrabrovo Airport,Kaliningrad,Russia,UMKK,54.88999938964844,20.59259986877441,42,2,1171.881495283767
2B,410,KZN,2990,AER,2965,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Sochi International Airport,Sochi,Russia,URSS,43.449902,39.9566,89,3,1506.825604458928
2B,410,KZN,2990,CEK,2968,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,770.5085001497805
2B,410,OVB,4078,CEK,2968,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,1338.6314665862067
2G,1654,OVB,4078,CEK,2968,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,1338.6314665862067
2B,410,KZN,2990,SVX,2975,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,723.523203520023
2B,410,NBC,6969,SVX,2975,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,554.7033596624186
2B,410,NJC,2972,SVX,2975,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,USNN,60.94929885864258,76.48359680175781,177,5,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,1012.6027135761158
2B,410,NUX,4364,SVX,2975,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,1324.6117527543267
2B,410,OVB,4078,SVX,2975,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,1370.297258632382
4G,2524,OVS,6140,SVX,2975,Sovetskiy Airport,Sovetskiy,Russia,USHS,61.326622009277344,63.60191345214844,351,5,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,534.1101651282564
5N,503,LED,2948,ARH,4362,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Talagi Airport,Arkhangelsk,Russia,ULAA,64.60030364990234,40.71670150756836,62,3,759.035687391219
5N,503,CSH,6110,ARH,4362,Solovki Airport,Solovetsky Islands,Russia,ULAS,65.0299987793,35.7333335876,60,3,Talagi Airport,Arkhangelsk,Russia,ULAA,64.60030364990234,40.71670150756836,62,3,240.5269633840277
5N,503,LED,2948,MMK,2949,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Murmansk Airport,Murmansk,Russia,ULMM,68.78170013427734,32.75080108642578,266,3,1005.6671365467649
5N,503,ARH,4362,MMK,2949,Talagi Airport,Arkhangelsk,Russia,ULAA,64.60030364990234,40.71670150756836,62,3,Murmansk Airport,Murmansk,Russia,ULMM,68.78170013427734,32.75080108642578,266,3,581.3083713058527
5N,503,LED,2948,SCW,2989,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Syktyvkar Airport,Syktyvkar,Russia,UUYY,61.64699935913086,50.84510040283203,342,3,1132.8841642666307
2B,410,NBC,6969,GYD,2922,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,Heydar Aliyev International Airport,Baku,Azerbaijan,UBBB,40.46749877929688,50.04669952392578,10,4,1685.4265243719851
4G,2524,NUX,4364,TJM,4111,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,Roshchino International Airport,Tyumen,Russia,USTR,57.1896018982,65.3243026733,378,5,1147.2179878129748
4G,2524,NUX,4364,UFA,2992,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,Ufa International Airport,Ufa,Russia,UWUU,54.557498931885,55.874401092529,449,5,1695.9750039066737
4G,2524,NUX,4364,VKO,2988,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,2370.2305137235694
4G,2524,EYK,8428,VKO,2988,Beloyarskiy Airport,Beloyarsky,Russia,USHY,63.686901,66.698601,82,5,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,1859.7674888683262
4G,2524,NCU,6151,VKO,2988,Nukus Airport,Nukus,Uzbekistan,UTNN,42.488399505615234,59.62329864501953,246,5,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,2168.5688930977767
4G,2524,NYM,6143,VKO,2988,Nadym Airport,Nadym,Russia,USMM,65.48090362548828,72.69889831542969,49,5,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,2186.2373364159253
4G,2524,OVS,6140,VKO,2988,Sovetskiy Airport,Sovetskiy,Russia,USHS,61.326622009277344,63.60191345214844,351,5,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,1645.191920939831
4G,2524,UCT,4368,VKO,2988,Ukhta Airport,Ukhta,Russia,UUYH,63.56689834594727,53.8046989440918,482,3,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,1279.0561137458008
2G,1654,OVB,4078,BTK,2936,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,Bratsk Airport,Bratsk,Russia,UIBB,56.370601654052734,101.697998046875,1610,8,1199.3591559200308
2G,1654,IKT,2937,BTK,2936,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Bratsk Airport,Bratsk,Russia,UIBB,56.370601654052734,101.697998046875,1610,8,488.33962159397527
2G,1654,OVB,4078,IKT,2937,Tolmachevo Airport,Novosibirsk,Russia,UNNT,55.012599945068,82.650703430176,365,7,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,1458.824309959064
2G,1654,BTK,2936,IKT,2937,Bratsk Airport,Bratsk,Russia,UIBB,56.370601654052734,101.697998046875,1610,8,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,488.33962159397527
2G,1654,HTA,2935,IKT,2937,Chita-Kadala Airport,Chita,Russia,UIAA,52.026299,113.306,2272,9,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,608.6430610264199
2G,1654,KCK,\N,IKT,2937,Kirensk Airport,Kirensk,Russia,UIKK,57.773,108.064,840,8,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,655.1854494872141
2G,1654,ODO,8944,IKT,2937,Bodaybo Airport,Bodaibo,Russia,UIKB,57.8661003113,114.242996216,919,8,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,882.1865409507242
2G,1654,UKX,6924,IKT,2937,Ust-Kut Airport,Ust-Kut,Russia,UITT,56.8567008972168,105.7300033569336,2188,8,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,517.4862726798776
2G,1654,ULK,9026,IKT,2937,Lensk Airport,Lensk,Russia,UERL,60.7206001282,114.825996399,801,9,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,1134.5379651044464
2G,1654,YKS,2923,IKT,2937,Yakutsk Airport,Yakutsk,Russia,UEEE,62.093299865722656,129.77099609375,325,9,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,1860.015151572239
2B,410,SVX,2975,NJC,2972,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,USNN,60.94929885864258,76.48359680175781,177,5,1012.6027135761158
2B,410,UUA,6160,NJC,2972,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,USNN,60.94929885864258,76.48359680175781,177,5,1557.1718220176435
2B,410,SVX,2975,NUX,4364,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,1324.6117527543267
4G,2524,TJM,4111,NUX,4364,Roshchino International Airport,Tyumen,Russia,USTR,57.1896018982,65.3243026733,378,5,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,1147.2179878129748
4G,2524,UFA,2992,NUX,4364,Ufa International Airport,Ufa,Russia,UWUU,54.557498931885,55.874401092529,449,5,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,1695.9750039066737
4G,2524,VKO,2988,NUX,4364,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,Novy Urengoy Airport,Novy Urengoy,Russia,USMU,66.06939697265625,76.52030181884766,210,5,2370.2305137235694
4G,2524,SVX,2975,OVS,6140,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Sovetskiy Airport,Sovetskiy,Russia,USHS,61.326622009277344,63.60191345214844,351,5,534.1101651282564
4G,2524,NYM,6143,OVS,6140,Nadym Airport,Nadym,Russia,USMM,65.48090362548828,72.69889831542969,49,5,Sovetskiy Airport,Sovetskiy,Russia,USHS,61.326622009277344,63.60191345214844,351,5,645.7269363688273
4G,2524,VKO,2988,OVS,6140,Vnukovo International Airport,Moscow,Russia,UUWW,55.5914993286,37.2615013123,685,3,Sovetskiy Airport,Sovetskiy,Russia,USHS,61.326622009277344,63.60191345214844,351,5,1645.191920939831
2G,1654,IKT,2937,HTA,2935,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Chita-Kadala Airport,Chita,Russia,UIAA,52.026299,113.306,2272,9,608.6430610264199
2G,1654,IKT,2937,KCK,\N,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Kirensk Airport,Kirensk,Russia,UIKK,57.773,108.064,840,8,655.1854494872141
2G,1654,IKT,2937,ODO,8944,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Bodaybo Airport,Bodaibo,Russia,UIKB,57.8661003113,114.242996216,919,8,882.1865409507242
2G,1654,IKT,2937,UKX,6924,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Ust-Kut Airport,Ust-Kut,Russia,UITT,56.8567008972168,105.7300033569336,2188,8,517.4862726798776
2G,1654,IKT,2937,ULK,9026,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Lensk Airport,Lensk,Russia,UERL,60.7206001282,114.825996399,801,9,1134.5379651044464
2G,1654,IKT,2937,YKS,2923,Irkutsk Airport,Irkutsk,Russia,UIII,52.268001556396,104.38899993896,1675,8,Yakutsk Airport,Yakutsk,Russia,UEEE,62.093299865722656,129.77099609375,325,9,1860.015151572239
2I,8359,AYP,2786,LIM,2789,Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Peru,SPHO,-13.154800415039062,-74.20439910888672,8917,-5,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,339.9806104707811
2I,8359,CUZ,2812,LIM,2789,Alejandro Velasco Astete International Airport,Cuzco,Peru,SPZO,-13.535699844400002,-71.9387969971,10860,-5,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,585.9080251433811
2I,8359,HUU,6067,LIM,2789,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,SPNC,-9.878809928894045,-76.20480346679688,6070,-5,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,258.1561031529864
2I,8359,PCL,2781,LIM,2789,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,SPCL,-8.37794017791748,-74.57430267333984,513,-5,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,491.3431736689255
2I,8359,TPP,2806,LIM,2789,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,SPST,-6.508739948272705,-76.37319946289062,869,-5,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,618.4026366573572
2I,8359,CUZ,2812,PEM,2808,Alejandro Velasco Astete International Airport,Cuzco,Peru,SPZO,-13.535699844400002,-71.9387969971,10860,-5,Padre Aldamiz International Airport,Puerto Maldonado,Peru,SPTU,-12.6135997772,-69.2285995483,659,-5,310.9345705025523
2I,8359,IQT,2801,PCL,2781,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Peru,SPQT,-3.7847399711608887,-73.30879974365234,306,-5,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,SPCL,-8.37794017791748,-74.57430267333984,513,-5,529.5509843237758
2I,8359,LIM,2789,PCL,2781,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,SPCL,-8.37794017791748,-74.57430267333984,513,-5,491.3431736689255
2I,8359,TPP,2806,PCL,2781,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,SPST,-6.508739948272705,-76.37319946289062,869,-5,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,SPCL,-8.37794017791748,-74.57430267333984,513,-5,287.29056839051833
2I,8359,IQT,2801,TPP,2806,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Peru,SPQT,-3.7847399711608887,-73.30879974365234,306,-5,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,SPST,-6.508739948272705,-76.37319946289062,869,-5,454.8584413962523
2I,8359,LIM,2789,TPP,2806,Jorge Chávez International Airport,Lima,Peru,SPIM,-12.0219,-77.114305,113,-5,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,SPST,-6.508739948272705,-76.37319946289062,869,-5,618.4026366573572
